order_id,customer_id,region,channel,status,amount,currency,order_ts
O-1001,C-001,KR-SEOUL,web,completed,180.50,USD,2026-03-14T09:00:00Z
O-1002,C-002,KR-BUSAN,partner,processing,220.00,USD,2026-03-14T09:20:00Z
O-1003,C-003,JP-TOKYO,field,completed,510.25,USD,2026-03-14T09:25:00Z
O-1004,C-004,US-WEST,web,completed,305.10,USD,2026-03-14T10:00:00Z
O-1005,C-005,US-WEST,web,cancelled,80.00,USD,2026-03-14T10:05:00Z
O-1006,C-006,DE-BERLIN,field,completed,410.75,USD,2026-03-14T10:25:00Z
O-1007,C-007,KR-SEOUL,partner,processing,260.40,USD,2026-03-14T10:35:00Z
O-1008,,KR-SEOUL,web,completed,330.00,USD,2026-03-14T11:00:00Z
O-1009,C-009,,partner,completed,190.00,USD,2026-03-14T11:12:00Z
O-1010,C-010,JP-TOKYO,field,completed,-15.00,USD,2026-03-14T11:20:00Z
O-1002,C-002,KR-BUSAN,partner,completed,220.00,USD,2026-03-14T12:20:00Z
O-1011,C-011,US-WEST,web,processing,125.25,USD,2026-03-14T12:30:00Z
